loading data...
487339 lines
sampling 1000 sentences and computing ['bias', 'subjectivity', 'vader', 'flesch-kincaid']...
collected features: (487336, 4)
+----------------------------+--------+--------------+--------+----------------+
|         sentences          |  bias  | subjectivity | vader  | flesch-kincaid |
| application is closed ?    |        |              |        |                |
| klipper ? do that work     |        |              |        |                |
| alright with gnome ? does* |        |              |        |                |
| dunno ... its a kde app    |        |              |        |                |
| so yeah  should work ...   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| damn pc crash .. anyone    | 0.183  | 0.396        | 0.925  | 5.200          |
| know what that disc check  |        |              |        |                |
| utility is ? what disk     |        |              |        |                |
| check utility ? some thing |        |              |        |                |
| gutsy kept forcing on me   |        |              |        |                |
| that 's the one but will   |        |              |        |                |
| it do it every time  or    |        |              |        |                |
| just once ? by default  it |        |              |        |                |
| does it every n mounts (   |        |              |        |                |
| don't remember how many    |        |              |        |                |
| exactly  30 or so i think) |        |              |        |                |
| i.e. basically every n     |        |              |        |                |
| reboots in hardy  it can   |        |              |        |                |
| be skipped by pressing esc |        |              |        |                |
| yes  i think it 's 29  but |        |              |        |                |
| i did get to over 50       |        |              |        |                |
| before yes  i think it 's  |        |              |        |                |
| 29  but i did get to over  |        |              |        |                |
| 50 before  it is more      |        |              |        |                |
| constant in hardy ?        |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i want to have two window  | 0.064  | 0.449        | 0.286  | 12.600         |
| managers how do i do that  |        |              |        |                |
| ? that is not possible     |        |              |        |                |
| unless you have two        |        |              |        |                |
| separate screens setup in  |        |              |        |                |
| xorg ( setup in the way    |        |              |        |                |
| that makes it so you can't |        |              |        |                |
| drag windows between them  |        |              |        |                |
| ) err  you can't have a    |        |              |        |                |
| different one for each     |        |              |        |                |
| window you can quit one    |        |              |        |                |
| and start another but they |        |              |        |                |
| cannot be running at the   |        |              |        |                |
| same time any ideas ??     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how much ram does the      | 0.078  | 0.597        | 0.732  | -0.700         |
| mahcine have ? 512mb why ? |        |              |        |                |
| rtfm could you tell which  |        |              |        |                |
| specifik log to look in ?  |        |              |        |                |
| and waht does rtfm mean ?  |        |              |        |                |
| the xfree log ok :) have   |        |              |        |                |
| you looked on freshmeat ?  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "lsusb shows "" linux      | 0.158  | 0.403        | 0.502  | 1.700          |
| foundation 1.1 root hub "" |        |              |        |                |
| - does this mean ubuntu    |        |              |        |                |
| uses usb 1.1 ( not usb 2.0 |        |              |        |                |
| ) ? could be - i have some |        |              |        |                |
| 1.1 and some 2.0 here . i  |        |              |        |                |
| got extra pci usb cards in |        |              |        |                |
| this box ive had for ages  |        |              |        |                |
| . i have the same ( all on |        |              |        |                |
| **unknown** ... but the    |        |              |        |                |
| data sheet says all ports  |        |              |        |                |
| are usb 2.0 it could be    |        |              |        |                |
| that some of the usb       |        |              |        |                |
| devices are also a root-   |        |              |        |                |
| hub ( built into the       |        |              |        |                |
| device ) thats 1.1 - like  |        |              |        |                |
| a keyboard . i see to have |        |              |        |                |
| a lot more root hubs then  |        |              |        |                |
| i have devices ."          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| my dvb kaffeine function   | -0.167 | 0.526        | -0.560 | 11.800         |
| seems to be broken- by     |        |              |        |                |
| starting from cli it seems |        |              |        |                |
| something else is using    |        |              |        |                |
| the card . i have no other |        |              |        |                |
| media players open  how do |        |              |        |                |
| i find which process is    |        |              |        |                |
| using the card sop i can   |        |              |        |                |
| terminate it ? looking in  |        |              |        |                |
| gnome system monitor or    |        |              |        |                |
| run top in terminal have   |        |              |        |                |
| had a quick look at top-   |        |              |        |                |
| is there something         |        |              |        |                |
| specific to look for ? top |        |              |        |                |
| whoops sorry i meant have  |        |              |        |                |
| already had quick look not |        |              |        |                |
| sure  you could try        |        |              |        |                |
| killing each one to see    |        |              |        |                |
| which on it is sorry can   |        |              |        |                |
| be of anymore help i would |        |              |        |                |
| restart gnome to see if    |        |              |        |                |
| that helped but am         |        |              |        |                |
| currently running aptitude |        |              |        |                |
| safe-upgrade and am        |        |              |        |                |
| currently **unknown** is   |        |              |        |                |
| there a way to restart     |        |              |        |                |
| gnome then resume the      |        |              |        |                |
| downloads ?                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| is anybody using a flash   | 0.122  | 0.792        | 0.470  | 6              |
| drive for storing their    |        |              |        |                |
| rsa/dsa private key ? yes  |        |              |        |                |
| are you using it with only |        |              |        |                |
| linux ?                    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| maybe a reboot will fix it | 0.265  | 0.484        | 0.677  | 1.700          |
| lol who knows ... brb i    |        |              |        |                |
| have no idea . im tired    |        |              |        |                |
| and frustrated . yes that  |        |              |        |                |
| i know  but which windows  |        |              |        |                |
| 64 bit driver because xp   |        |              |        |                |
| 64 is non-existant they    |        |              |        |                |
| have a vista 64 driver but |        |              |        |                |
| i do not know if it will   |        |              |        |                |
| work with ndis fail . is   |        |              |        |                |
| there an xp32 driver for   |        |              |        |                |
| it ? and there 's no xp64  |        |              |        |                |
| ? what about windows       |        |              |        |                |
| server 64 or something ?   |        |              |        |                |
| you dont need to run a     |        |              |        |                |
| 64bit vm under a 64bit     |        |              |        |                |
| host - are you sure ? i    |        |              |        |                |
| cannot run 64bit under my  |        |              |        |                |
| 32bit windows host i ran a |        |              |        |                |
| 64bit xp under my ubuntu   |        |              |        |                |
| 32 just fine actually      |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "hey guys  i'm getting an  | 0.509  | 0.654        | 0.942  | 3.600          |
| error when trying to       |        |              |        |                |
| install a dual boot . ""   |        |              |        |                |
| unable to resize partition |        |              |        |                |
| "" any ideas ? **unknown** |        |              |        |                |
| installing ubuntu on a     |        |              |        |                |
| machine that already has   |        |              |        |                |
| xp  is gparted possible ?  |        |              |        |                |
| yeah  it 's on the live cd |        |              |        |                |
| what was your problem      |        |              |        |                |
| again ? right  can't be    |        |              |        |                |
| resized if i were you  i'd |        |              |        |                |
| try to verify that it is   |        |              |        |                |
| not corrupted or anything  |        |              |        |                |
| . have you already tried   |        |              |        |                |
| that ? yeah  it 's in      |        |              |        |                |
| perfect working order is   |        |              |        |                |
| it ntfs ? yes ntfs and     |        |              |        |                |
| you've done an fsck on it  |        |              |        |                |
| ? fsck ? that 's the first |        |              |        |                |
| i've heard mentioned of    |        |              |        |                |
| that i'm not exactly sure  |        |              |        |                |
| how to use it though is it |        |              |        |                |
| on the livecd ? it should  |        |              |        |                |
| be . it 's pretty          |        |              |        |                |
| important ajax4  thanks  i |        |              |        |                |
| may be back alright - look |        |              |        |                |
| into fsck if possible      |        |              |        |                |
| going to try it now i      |        |              |        |                |
| think it 's just fsck      |        |              |        |                |
| **unknown** partition for  |        |              |        |                |
| me it 's fsck /dev/sda1"   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| why isn't mangler in the   | -0.376 | 0.600        | 0      | 2.900          |
| ubuntu repos . there is    |        |              |        |                |
| ppa for mangler :          |        |              |        |                |
| **unknown** can't find     |        |              |        |                |
| that ppa you mentioned .   |        |              |        |                |
| launchpad seems to be on   |        |              |        |                |
| lockdown                   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| apparently adobe has       | 0.175  | 0.398        | 0.869  | 17.300         |
| altered its flashplugin    |        |              |        |                |
| package ... apt-get        |        |              |        |                |
| wouldn't install it  and   |        |              |        |                |
| when tried manually the    |        |              |        |                |
| installer had an obvious   |        |              |        |                |
| bug with install path      |        |              |        |                |
| input  so i just copied    |        |              |        |                |
| the plugin . so manually   |        |              |        |                |
| let me rephrase that i let |        |              |        |                |
| the devels know whats      |        |              |        |                |
| wrong one of the flash     |        |              |        |                |
| guys need to fix it ( im   |        |              |        |                |
| not good with the scripts  |        |              |        |                |
| we use for flash ) its     |        |              |        |                |
| being looked into ok i     |        |              |        |                |
| think ubuntu script is ok  |        |              |        |                |
| but adobe  for some reason |        |              |        |                |
| has replaced the package   |        |              |        |                |
| the md5 sums mismatch  and |        |              |        |                |
| the adobe installer script |        |              |        |                |
| adds a redundant space to  |        |              |        |                |
| the install path string    |        |              |        |                |
| and refuses to install no  |        |              |        |                |
| its not flash packaged the |        |              |        |                |
| new one with the same      |        |              |        |                |
| named tar as older one the |        |              |        |                |
| script needs to be changed |        |              |        |                |
| to use the new one well    |        |              |        |                |
| yeah  but the contents     |        |              |        |                |
| aren't the same since the  |        |              |        |                |
| md5sums are not the same   |        |              |        |                |
| right ? right well  yes    |        |              |        |                |
| in that respect the ubuntu |        |              |        |                |
| script is out of date i    |        |              |        |                |
| spent 4+ hours fiddling    |        |              |        |                |
| with that last night       |        |              |        |                |
| trying to find _best_ way  |        |              |        |                |
| to solve it heh :) no its  |        |              |        |                |
| doing it correctly but     |        |              |        |                |
| adobe isnt gonna change so |        |              |        |                |
| we have to and there were  |        |              |        |                |
| alot of regressions in the |        |              |        |                |
| new version is why we      |        |              |        |                |
| didnt update it yet . we   |        |              |        |                |
| need to find out if the    |        |              |        |                |
| regressions were fixed     |        |              |        |                |
| before we update it or     |        |              |        |                |
| flash is broken anyway     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| my box freezing when i use | 0.197  | 0.667        | 0.226  | 5.200          |
| compiz effect .. anybody   |        |              |        |                |
| know why ? i use radeon    |        |              |        |                |
| 1950 agp  athlon xp barton |        |              |        |                |
| and ubuntu **unknown** you |        |              |        |                |
| better ask in amd/ati      |        |              |        |                |
| forums / channel i think   |        |              |        |                |
| is something wrong with a  |        |              |        |                |
| compiz or ubuntu updates   |        |              |        |                |
| .. cause compiz work since |        |              |        |                |
| oktober 2008 .. and then i |        |              |        |                |
| get some updates and box   |        |              |        |                |
| freezes if i use compiz    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| yes  each line should end  | -0.052 | 0.600        | 0.459  | 6              |
| with a semi-colon . how    |        |              |        |                |
| about i post a working     |        |              |        |                |
| dhcp config ( with pxe     |        |              |        |                |
| configuration in it ) to   |        |              |        |                |
| give you something to work |        |              |        |                |
| from pls do  **unknown**   |        |              |        |                |
| thanls                     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| you're in the wrong        | -0.582 | 0.718        | -0.439 | 4.800          |
| channel  no windows        |        |              |        |                |
| support here i cannot      |        |              |        |                |
| install it  so i have to   |        |              |        |                |
| use window !? you said you |        |              |        |                |
| are in windows right now   |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi everyone could anybody  | 0.322  | 0.651        | 0.940  | 10.700         |
| install the nvidia driver  |        |              |        |                |
| in 12.04 ? use the         |        |              |        |                |
| additional driver app in   |        |              |        |                |
| dash  search for the word  |        |              |        |                |
| : driver run : gksudo      |        |              |        |                |
| jockey-gtk its set in      |        |              |        |                |
| /etc/default/grub remember |        |              |        |                |
| to run : sudo update-grub  |        |              |        |                |
| to apply the change an     |        |              |        |                |
| easy way is to copy one    |        |              |        |                |
| from ~/ . **unknown** as   |        |              |        |                |
| they are a bit simpler if  |        |              |        |                |
| you take it out and about  |        |              |        |                |
| then it helps with         |        |              |        |                |
| security  other wise i     |        |              |        |                |
| wouldn't bother not as far |        |              |        |                |
| as i am aware i will       |        |              |        |                |
| trevel around some         |        |              |        |                |
| countries with it then i'd |        |              |        |                |
| encrypt it do you have     |        |              |        |                |
| hybrid video hardware (    |        |              |        |                |
| intel and nvidia ) etc ?   |        |              |        |                |
| it is an intel 3100 only   |        |              |        |                |
| do you think that the heat |        |              |        |                |
| could be produced due to a |        |              |        |                |
| bad configuration of the   |        |              |        |                |
| intel gpu 3100 grapic card |        |              |        |                |
| ? also add this to         |        |              |        |                |
| /etc/sysctl . conf http:// |        |              |        |                |
| dl.dropbox.com/u/8850924/s |        |              |        |                |
| ysctl also installing      |        |              |        |                |
| prefetch can help prefetch |        |              |        |                |
| isn't a package afaik      |        |              |        |                |
| preload is if you install  |        |              |        |                |
| ubuntu minimal  then       |        |              |        |                |
| install slim and fluxbox   |        |              |        |                |
| you will have a super      |        |              |        |                |
| light os at about 1.2 gb   |        |              |        |                |
| installed then install     |        |              |        |                |
| xubuntu  or lubuntu        |        |              |        |                |
| lighter than most          |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| is fast huh ? that is not  | -0.189 | 0.800        | -0.880 | 4.800          |
| acceptable advice          |        |              |        |                |
| ?????????? ban avoiding is |        |              |        |                |
| not acceptable to advice   |        |              |        |                |
| if you ask a question      |        |              |        |                |
| maybe sorry                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how do i install libraries | -0.042 | 0.600        | 0      | 6.400          |
| for c++ ? i downloaded the |        |              |        |                |
| libraries manually  did    |        |              |        |                |
| not work . . . what        |        |              |        |                |
| library ? #include <       |        |              |        |                |
| **unknown** **unknown** >  |        |              |        |                |
| what application are you   |        |              |        |                |
| building ?                 |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| anyone know how to find    | 0.186  | 0.388        | 0.594  | 13.400         |
| what process has audio     |        |              |        |                |
| device locked ? you could  |        |              |        |                |
| restart hal and pulse      |        |              |        |                |
| should do it and as for    |        |              |        |                |
| root cause ? no idea i     |        |              |        |                |
| really need the root cause |        |              |        |                |
| trying to set up a remote  |        |              |        |                |
| media server and cant have |        |              |        |                |
| local process randomly     |        |              |        |                |
| locking the sound device   |        |              |        |                |
| then read through dmesg |  |        |              |        |                |
| less sunbird can organise  |        |              |        |                |
| stuff dpkg -l | grep       |        |              |        |                |
| package name ask in        |        |              |        |                |
| #ubuntu+1 you can  the     |        |              |        |                |
| contents will just change  |        |              |        |                |
| if a connection recieves   |        |              |        |                |
| dhcp :) yes and when you   |        |              |        |                |
| reboot too same difference |        |              |        |                |
| modify network manager set |        |              |        |                |
| the interface to dhcp (    |        |              |        |                |
| address only ) then you    |        |              |        |                |
| can set the dns servers    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| i use ' sudo update-grub ' | 0.159  | 0.599        | 0.964  | 6.800          |
| instead of nano            |        |              |        |                |
| /boot/grub/menu . lst ) do |        |              |        |                |
| you have all repos enabled |        |              |        |                |
| ? dont know i just         |        |              |        |                |
| uncommented em ' sudo apt- |        |              |        |                |
| get update && sudo apt-get |        |              |        |                |
| install ........' yeah .   |        |              |        |                |
| thanks :) i need more help |        |              |        |                |
| :/ mount -t ext3 etc       |        |              |        |                |
| indeed a kernel oops you   |        |              |        |                |
| should report it to        |        |              |        |                |
| launchpad okay then        |        |              |        |                |
| cheers . it is a kernel    |        |              |        |                |
| bug so linux-image-generic |        |              |        |                |
| is the buggy package do    |        |              |        |                |
| you have any other reason  |        |              |        |                |
| to think the filesystem    |        |              |        |                |
| may be corrupted ? have    |        |              |        |                |
| you fsck it ? twice and    |        |              |        |                |
| only /home has that error  |        |              |        |                |
| then the fs should be ok   |        |              |        |                |
| and you should report the  |        |              |        |                |
| kernel bug home is a       |        |              |        |                |
| separate partition ? no i  |        |              |        |                |
| have a recent /home/nox    |        |              |        |                |
| backup but maybe it is not |        |              |        |                |
| a faulty filesystem bt a   |        |              |        |                |
| bug in the new kernel (    |        |              |        |                |
| there was an update        |        |              |        |                |
| yesterday iirc ) it 's not |        |              |        |                |
| the kernel . i booted up   |        |              |        |                |
| gentoo linux and it also   |        |              |        |                |
| cannot rm the folder       |        |              |        |                |
| **unknown** if it 's not   |        |              |        |                |
| the kernel and fsck can    |        |              |        |                |
| not repair it i can not    |        |              |        |                |
| help you further i'm       |        |              |        |                |
| afraid thanks =]           |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| how can i transfer movies  | -0.560 | 0.300        | -0.309 | 5.600          |
| of my canon ixus           |        |              |        |                |
| **unknown** ? i managed to |        |              |        |                |
| copy haf of one through    |        |              |        |                |
| gnome  but that is buggy   |        |              |        |                |
| and stops working all the  |        |              |        |                |
| time ... does the          |        |              |        |                |
| memorycard display on the  |        |              |        |                |
| desktop ? an icon of a     |        |              |        |                |
| camera with the text :     |        |              |        |                |
| canon digital camera does  |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hello people . where can i | -0.534 | 0.800        | -0.457 | 4.800          |
| post a picture for you to  |        |              |        |                |
| see  in order to sow you   |        |              |        |                |
| my avidemux problem ?      |        |              |        |                |
| www.imgur.com i already    |        |              |        |                |
| told you  **unknown** - hi |        |              |        |                |
| . sorry - i missed that .  |        |              |        |                |
| thank !                    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| shit fuck :) mind your     | 0.044  | 0.675        | -0.226 | 9.100          |
| language move on  or you   |        |              |        |                |
| can care about them        |        |              |        |                |
| somewhere else very soon   |        |              |        |                |
| okey .                     |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "my other problem with     | -0.249 | 0.708        | -0.926 | 9.900          |
| linux is that it almost    |        |              |        |                |
| feels modularised - it 's  |        |              |        |                |
| too difficult to install a |        |              |        |                |
| program  so people make    |        |              |        |                |
| easy ways with the result  |        |              |        |                |
| that we stick to strict    |        |              |        |                |
| scheduled updates rather   |        |              |        |                |
| than just "" get the       |        |              |        |                |
| latest version when it     |        |              |        |                |
| appears "". ubuntu 's      |        |              |        |                |
| repositories are a perfect |        |              |        |                |
| example - they're an       |        |              |        |                |
| excellent idea  but just   |        |              |        |                |
| too slow at updating . the |        |              |        |                |
| version of firefox in the  |        |              |        |                |
| free ones is still an evil |        |              |        |                |
| modified version of 1.0 .  |        |              |        |                |
| 2 . thats more the policy  |        |              |        |                |
| of ubuntu rather than not  |        |              |        |                |
| being up2date theyre       |        |              |        |                |
| unstable as long as they   |        |              |        |                |
| arent tested inside otu    |        |              |        |                |
| and/or have major bugs no  |        |              |        |                |
| sane person would want     |        |              |        |                |
| libs to be in the kernel ? |        |              |        |                |
| if libs were part of the   |        |              |        |                |
| kernel their development   |        |              |        |                |
| cycle would be fixed to it |        |              |        |                |
| - no dependency problems . |        |              |        |                |
| buildin of that libs would |        |              |        |                |
| render the kernel          |        |              |        |                |
| unmaintainable =/"         |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hi  wich is the right java | -0.481 | 0.536        | 0      | 0.100          |
| plugin for ubuntu 64 bit ? |        |              |        |                |
| 0.94 is in the repos ? how |        |              |        |                |
| can i installa that ?      |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| help ! i just deleted some | 0.502  | 0.473        | 0.855  | 6              |
| files and folders          |        |              |        |                |
| accidentally . is there    |        |              |        |                |
| any way to undelete in     |        |              |        |                |
| ubuntu ? i did not use the |        |              |        |                |
| trash as i routinely       |        |              |        |                |
| bypass that . thanks the   |        |              |        |                |
| files were on an ext4      |        |              |        |                |
| partition if that helps    |        |              |        |                |
| how did you delete the     |        |              |        |                |
| files exactly ? in         |        |              |        |                |
| nautilus i selected them   |        |              |        |                |
| all and deleted them while |        |              |        |                |
| holding down shift . they  |        |              |        |                |
| are all mythtv files so    |        |              |        |                |
| their loss isn't the end   |        |              |        |                |
| of the world  though i     |        |              |        |                |
| would like to **unknown**  |        |              |        |                |
| them i think you're out of |        |              |        |                |
| luck  most likely . check  |        |              |        |                |
| the link from ubottu       |        |              |        |                |
| perhaps                    |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "how do i run fsck in      | 0.244  | 0.700        | 0.918  | 3.200          |
| rescue mode ? when i type  |        |              |        |                |
| "" fsck "" i just get the  |        |              |        |                |
| fsck version number how do |        |              |        |                |
| i run fsck in rescue mode  |        |              |        |                |
| ? when i type "" fsck "" i |        |              |        |                |
| just get the fsck version  |        |              |        |                |
| number rescue :/           |        |              |        |                |
| **unknown** fsck -- help   |        |              |        |                |
| fsck 1.37 ( **unknown** )  |        |              |        |                |
| help doesn't help like     |        |              |        |                |
| arand said  but instead of |        |              |        |                |
| # you type a digit to      |        |              |        |                |
| identify the partition you |        |              |        |                |
| are on live cd ? what      |        |              |        |                |
| partition do you want to   |        |              |        |                |
| check ? is /dev/sda2       |        |              |        |                |
| unmounted ? ^ please check |        |              |        |                |
| type mount and read the    |        |              |        |                |
| output doesn't look like   |        |              |        |                |
| its mounted ok now type    |        |              |        |                |
| fsck -f /dev/sda2 the -f   |        |              |        |                |
| means "" force "" if you   |        |              |        |                |
| just want to see the       |        |              |        |                |
| permissions : ls -l        |        |              |        |                |
| /ets/hosts"                |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| hey i just reinstalled     | -0.208 | 0.575        | 0.885  | 5.600          |
| ubuntu and i get this err  |        |              |        |                |
| >> http://techtoknow.net/p |        |              |        |                |
| astebin/view.php?id=54 can |        |              |        |                |
| someone help me ? can      |        |              |        |                |
| somone help me ? hey i     |        |              |        |                |
| just reinstalled ubuntu    |        |              |        |                |
| and i get this err >> http |        |              |        |                |
| ://techtoknow.net/pastebin |        |              |        |                |
| /view.php?id=54 can        |        |              |        |                |
| someone help me ? ksudo    |        |              |        |                |
| apt-get update i get the   |        |              |        |                |
| same thing .. < alraune >  |        |              |        |                |
| rcp :p aste your sources . |        |              |        |                |
| list where are thay at ?   |        |              |        |                |
| gedit /etc/apt/sources .   |        |              |        |                |
| list ! paste >>            |        |              |        |                |
| **unknown** pm ?           |        |              |        |                |
+----------------------------+--------+--------------+--------+----------------+
| "ok buddy i just learned   | 0.376  | 0.349        | 0.984  | 7.600          |
| empathy has irc chat yay   |        |              |        |                |
| so how goes the flash      |        |              |        |                |
| struggle with a different  |        |              |        |                |
| browser ? for ff you will  |        |              |        |                |
| need to install "" sudo    |        |              |        |                |
| apt-get install ubuntu-    |        |              |        |                |
| restricted-extras "" to    |        |              |        |                |
| get flash in ff i use      |        |              |        |                |
| chrome but the big         |        |              |        |                |
| contenders on ubuntu are   |        |              |        |                |
| ff  chromium ( open source |        |              |        |                |
| chrome)  and opera what    |        |              |        |                |
| kind of bz2 file ? source  |        |              |        |                |
| code  icons  window frames |        |              |        |                |
| ? glad your back . i       |        |              |        |                |
| downloaded firefox and it  |        |              |        |                |
| gave me a bz2 file oops    |        |              |        |                |
| saw ff after ) ff should   |        |              |        |                |
| be installed by default    |        |              |        |                |
| with ubuntu . there are    |        |              |        |                |
| ppa 's for later versions  |        |              |        |                |
| but really do not          |        |              |        |                |
| recommend them - you       |        |              |        |                |
| should stay with the       |        |              |        |                |
| default install . should   |        |              |        |                |
| be under : applications >  |        |              |        |                |
| internet > firefox be      |        |              |        |                |
| warned if you install the  |        |              |        |                |
| ppa it could break on a    |        |              |        |                |
| bad update and you'll have |        |              |        |                |
| to wait for the next       |        |              |        |                |
| update to hopefully fix it |        |              |        |                |
| . ? specify ? well back to |        |              |        |                |
| square one with sound  im  |        |              |        |                |
| not getting sound from ff  |        |              |        |                |
| or chrome i think if you   |        |              |        |                |
| want to stick with ubuntu  |        |              |        |                |
| the best thing you can do  |        |              |        |                |
| is crack open the case     |        |              |        |                |
| pull out the x-fi and put  |        |              |        |                |
| in any old generic sound   |        |              |        |                |
| card . i really think that |        |              |        |                |
| would be the solution to   |        |              |        |                |
| the woes . just responded  |        |              |        |                |
| to the pm you sent - i     |        |              |        |                |
| don't know how long it was |        |              |        |                |
| there unnoticed !          |        |              |        |                |
| shouldn't really pm  see   |        |              |        |                |
